Job title,Company,location,job type
Customer Support Specialist - Uber Eats,Uber -,"Cairo, Egypt ",Full Time
Desktop Support Technician,Excis Compliance -,"Cairo, Egypt ",Full Time
React.js Engineer - ME,Expleo Group -,"Dubai, United Arab Emirates ",Full Time
MLOps Engineer - LLM and GenAI Products,Merck Group -,"Cairo, Egypt ",Full Time
Junior& Mid Senior Android Engineer,TrianglZ LLC -,"Alexandria, Egypt ",Full Time
Internship - Brand Champion,My FELS -,"Cairo, Egypt ",Full Time
Consultant: Basic Education and/or Youth Expert,Winrock International -,"Dubai, United Arab Emirates ",Full Time
"* Director of Demand Generation, Gigster Network",Ionic Partners -,"Dubai, United Arab Emirates ",Full Time
Precertification Officer,Allianz Partners -,"Dubai, United Arab Emirates ",Full Time
"Front-End Software Developer, Gigster Network",Ionic Partners -,"Cairo, Egypt ",Full Time
Internship - Engineering,Arjaan Hotel Apartments by Rotana -,"Dubai, United Arab Emirates ",Full Time
Front End Developer,Confidential -,"Tanta, Gharbia, Egypt ",Full Time
React Native Developer,Confidential -,"Mohandessin, Giza, Egypt ",Full Time
SAP Human Capital Management,DXC Technology -,"Dubai, United Arab Emirates ",Full Time
Senior Solutions & Consultancy Lead,NATS -,"Dubai, United Arab Emirates ",Full Time
Senior Product Manager,Consensys -,"Dubai, United Arab Emirates ",Full Time
Maintenance Team Leader,ABB -,"Cairo, Egypt ",Full Time
Ethics & Compliance Officer,dentsu -,"Cairo, Egypt ",Full Time
Sr. Devops Engineer,waffarha.com -,"Downtown, Cairo, Egypt ",Full Time
Duty Engineer,Rotana Hotels & Resorts -,"Matruh, Egypt ",Full Time
Node JS Developer,Confidential -,"Cairo, Egypt ",Full Time
Python Developer,Confidential -,"Cairo, Egypt ",Full Time
Senior Software Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Full Time
Senior Finance Manager,Imploy -,"Riyadh, Saudi Arabia ",Full Time
Technical Support Specialist,NCR Atleos -,"Kuwait City, Kuwait ",Full Time
Florist Required in Dubai,Reap HR -,"Dubai, United Arab Emirates ",Full Time
DevOps Engineer - Google Cloud,Sulfah -,"Maadi, Cairo, Egypt ",Full Time
Senior iOS Developer,Youxel -,"Maadi, Cairo, Egypt ",Full Time
Master Data (Project For one year only),La Poire -,"Basatin, Cairo, Egypt ",Full Time
Group IT Manager,Premier Services and Recruitment Overseas  -,"Katameya, Cairo, Egypt ",Full Time
Senior Backend Developer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time
ERP Odoo Manager (Odoo experience),IPC -,"Hadayek Alkobba, Cairo, Egypt ",Full Time
Senior Public Transport Planner (f/m),Deutsche Bahn -,"Kuwait City, Kuwait ",Full Time
"Director, Cybersecurity GRC",ROSHN l روشن -,"Riyadh, Saudi Arabia ",Full Time
Software Tester,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time
Senior Frontend Developer - Fully Remote Job,Confidential -,"Cairo, Egypt ",Full Time
Software development team lead,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Software Tester,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
"Specialist, Learning & Development",ADNOC Group -,"Dubai, United Arab Emirates ",Full Time
Senior Data Scientists,ROSHN l روشن -,"Riyadh, Saudi Arabia ",Full Time
Senior Full Stack Developer,DBS -,"New Cairo, Cairo, Egypt ",Full Time
Senior NetSuite Technical Developer,Azdan Business Analytics -,"Cairo, Egypt ",Full Time
"Senior EPM Consultant (HFM,FCCS) - Consolidation (Remote)",Azdan Business Analytics -,"Cairo, Egypt ",Full Time
EPM Senior Consultant-Planning (Remote),Azdan Business Analytics -,"Cairo, Egypt ",Full Time
Project Coordinator,Vyper Media Knowledge -,"Kuwait City, Kuwait ",Part Time
IT Specialist,Ibn Sina Pharma -,"Qalyub, Qalubia, Egypt ",Full Time
Digital Data Analyst (Entry Level),Vyper Media Knowledge -,"Kuwait City, Kuwait ",Part Time
Continuing Airworthiness Officer,Emirates -,"Dubai, United Arab Emirates ",Full Time
Control & Governance Manager,ADIB - Abu Dhabi Islamic Bank -,"Dubai, United Arab Emirates ",Full Time
Risk Based Inspection (RBI) Engineer,DNV -,"Cairo, Egypt ",Full Time
Senior Full Stack Developer,Filkhedma -,"New Cairo, Cairo, Egypt ",Full Time
LNG Technology Manager,Oil and Gas Job Search Ltd -,"Dubai, United Arab Emirates ",Full Time
Back-End/Full Stack Developer (PHP/Laravel+ JavaScript),jmskef -,"Banha, Qalubia, Egypt ",Full Time
Sales Representative ( Remotely ),Confidential -,"Cairo, Egypt ",Full Time
Anaesthesia Consultant J207322,Prospect Health -,"Makkah, Saudi Arabia ",Full Time
ERP Analyst,IT Systems Corporation -,"Giza, Egypt ",Full Time
Technical Writer,IT Systems Corporation -,"6th of October, Giza, Egypt ",Full Time
Customer Support Specialist,Safe Decision Co. LLC -,"Riyadh, Saudi Arabia ",Full Time
Systems Controller - Database Specialist,Hamad International Airport -,"Doha, Qatar ",Full Time
Faculty of Computer Science & Cybersecurity,IUK -,"Kuwait City, Kuwait ",Full Time
Senior React Developer,Pure Group  -,"Cairo, Egypt ",Full Time
"University: Real Time Services Specialist, Associate","Halliburton Energy Services, Inc. -","Dubai, United Arab Emirates ",Full Time
"Principal, Projects (Europe)",Adnocdistribution -,"Abu Dhabi, United Arab Emirates ",Full Time
Record to Report Senior Accountant,MAJID AL FUTTAIM -,"Cairo, Egypt ",Full Time
Odoo Developer / Technical Consultant - Dubai,Odoo -,"Dubai, United Arab Emirates ",Full Time
Cyber Security Engineer,Secyore -,"Dubai, United Arab Emirates ",Full Time
Junior Data Scientist,Munich RE -,"Dubai, United Arab Emirates ",Full Time
Full Stack Engineering Analyst,Accenture Middle East -,"Dubai, United Arab Emirates ",Full Time
Full Stack Engineer,Accenture Middle East -,"Dubai, United Arab Emirates ",Full Time
Research Assistant.8800866,Khalifa University -,"Dubai, United Arab Emirates ",Full Time
Product Owner - Digital Banking,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
Project Manager - Depot Equipment,ALSTOM Transmission & Distribution -,"Riyadh, Saudi Arabia ",Full Time
Teacher Support Advisor - Egypt,Twinkl Limited -,"Cairo, Egypt ",Full Time
Software Engineer,thinkdata pc -,"Alexandria, Egypt ",Full Time
UFS Customer Development Executive - Hurghada,Unilever -,"Cairo, Egypt ",Full Time
"Sr. Salesforce Developer, Egypt",Coptic Orphans -,"Cairo, Egypt ",Full Time
Financial Crime Analyst,eToro -,"Dubai, United Arab Emirates ",Full Time
Big Data Analyst,TheTalentPoint | Jobs in UAE & Middleeast -,"Dubai, United Arab Emirates ",Full Time
"Operation Manager- Khobar, KSA (Catering industry experience required)",Trans Skills -,"Khobar, Saudi Arabia ",Full Time
Client Advisor - Eyewear (Al Nakheel Mall) RETAIL & DISTRIBUTION · Riyadh,Chalhoub Group -,"Riyadh, Saudi Arabia ",Full Time
Data Center Customer Operations Engineer II,"Equinix, Inc. -","Alexandria, Egypt ",Full Time
Assurance Staff Accountant (May 2024),YEO -,"Tabuk, Saudi Arabia ",Full Time
Head Butcher,Celebrity Cruises -,"Dubai, United Arab Emirates ",Freelance / Project
Shift Lead,Pet Supermarket -,"Riyadh, Saudi Arabia ",Full Time
Team Lead,Comfor Pedic -,"Riyadh, Saudi Arabia ",Full Time
Senior Business Analyst,Tech Integrated Services -,"Cairo, Egypt ",Full Time
Cairo & Giza Area Operations Manager,Sprint -,"Cairo, Egypt ",Full Time
Head of Transportation and Installation Engineering,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Lead Software Engineer*,The Depository Trust & Clearing Corporation (DTCC) -,"Dubai, United Arab Emirates ",Full Time
Powerapps Developer,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
Business Consultant,StartX -,"Dubai, United Arab Emirates ",Full Time
Identity and Access Management Specialist,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
UI/UX Designer (Fulltime / Remote) at Supaapps GmbH,join.com -,"Cairo, Egypt ",Freelance / Project
Project Coordinator - Saudi Arabia,UX Labs -,"Riyadh, Saudi Arabia ",Full Time
Storage & Dist Mgr II (Deploy),The Exchange -,"Kuwait City, Kuwait ",Full Time
Regional VP - Contingency,The Exchange -,"Kuwait City, Kuwait ",Full Time
Centralized Control Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Cyber Security SOC Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
LRT Train Driver,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Performance Analyst,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Application Support Coordinator,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Application Support Specialist,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Data Engineer,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Resource GeoModeller,WhiteCrow Research -,"Riyadh, Saudi Arabia ",Full Time
Modelling Analyst,MDA Edge -,"Dubai, United Arab Emirates ",Full Time
Passenger information and Production Assistant,RATP Dev Mobility Cairo -,"Cairo, Egypt ",Full Time
Product Lead - Digital Community,Mach49 -,"Dubai, United Arab Emirates ",Freelance / Project
Data Center Facility Engineer (Electrical/Mechanical),Amazon Web Services (AWS) -,"Dubai, United Arab Emirates ",Full Time
