Job title,Company,location,job type
Level 1 Application Support,SSC -,"Cairo, Egypt ",Full Time
Senior Full Stack (.net & Angular),SSC -,"Cairo, Egypt ",Full Time
Sr. Integration Tester,SSC -,"Cairo, Egypt ",Full Time
Sr. UI Developer,SSC -,"Cairo, Egypt ",Full Time
Product Owner,SSC -,"Cairo, Egypt ",Full Time
Senior Integration Developer,SSC -,"Cairo, Egypt ",Full Time
Technical Analyst,VAM Systems -,"Dubai, United Arab Emirates ",Full Time
Business Analyst,Amazon Group -,"Cairo, Egypt ",Full Time
Flutter Developer,Aqarmap.com -,"Nasr City, Cairo, Egypt ",Full Time
Senior Business / Systems Analysis,RMG -,"Cairo, Egypt ",Full Time
Business Analyst,eVision -,"New Cairo, Cairo, Egypt ",Full Time
Power BI Developer,eVision -,"New Cairo, Cairo, Egypt ",Full Time
Next.js 14 - Front-end developer - Part time,Alexandria For Programming -,"Bolkly, Alexandria, Egypt ",Part Time
Lead Systems Administrator,"Integrant, Inc. -","Cairo, Egypt ",Full Time
NOC Engineer - Tier 2,"Integrant, Inc. -","Cairo, Egypt ",Full Time
NOC Engineer - Tier 3,"Integrant, Inc. -","Cairo, Egypt ",Full Time
NOC Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
Asset Manager,Acciona Group -,"Cairo, Egypt ",Full Time
Chief Technical Officer,Financial Docs -,"Dubai, United Arab Emirates ",Full Time
SDET (Software Development Engineer in Test),leantech.me -,"Dubai, United Arab Emirates ",Full Time
"Human Resources Business Partner Dubai, United Arab Emirates",GroupM -,"Dubai, United Arab Emirates ",Full Time
Web Designer,IFZA -,"Dubai, United Arab Emirates ",Full Time
Automation Engineer,BEUMER Group -,"Dubai, United Arab Emirates ",Full Time
Asset Manager,ACCIONA -,"Cairo, Egypt ",Full Time
Remote Customer Support - German - Music Streaming Service (3432),ModSquad -,"Cairo, Egypt ",Full Time
Big-Data Solutions Presales,SSC -,"Cairo, Egypt ",Full Time
SAP Sales & Delivery Lead,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time
Petroleum Engineering Lead - Reservoir Technical Services (RTS) - MENATI,Baker Hughes -,"Dubai, United Arab Emirates ",Full Time
Senior Sales Healthcare Solutions,Reap Solutions  -,"New Cairo, Cairo, Egypt ",Full Time
Senior IOS Developer,NEXT-Munich GmbH -,"Downtown, Cairo, Egypt ",Full Time
Software Sales Executive (B2B),Gulf Terminal -,"Mansoura, Dakahlia, Egypt ",Full Time
Project Manager - IT,Arbete -,"Jeddah, Saudi Arabia ",Full Time
SAP Master Data Management Analyst - Temporary Contract,Unilever PLC -,"Cairo, Egypt ",Full Time
Research Software Engineer,The FutureList -,"Dubai, United Arab Emirates ",Full Time
Sr Proj Support Tech,Fluor Corporation -,"Riyadh, Saudi Arabia ",Full Time
Consultant - Fashion - Swarovski RETAIL & DISTRIBUTION · Cairo,Chalhoub Group -,"Cairo, Egypt ",Full Time
Senior Business Analyst,MBC Group -,"Dubai, United Arab Emirates ",Full Time
Kentico Expert,Emirates Technology  Solutions -,"Sharjah, United Arab Emirates ",Full Time
Solutions Engineer (Arabic Speaker),Cloudera Inc. -,"Riyadh, Saudi Arabia ",Full Time
Pre-Sales Manager,MVP Tech -,"Riyadh, Saudi Arabia ",Full Time
STRUCTURAL MODELERS,Duncan & Ross -,"Riyadh, Saudi Arabia ",Full Time
Sr. Frontend Developer,DATAPATROL -,"Dubai, United Arab Emirates ",Full Time
Key Accounts Associate Analyst,Pepsi -,"Cairo, Egypt ",Full Time
Senior Validation Engineer,"Thales e-Security, Inc. -","Riyadh, Saudi Arabia ",Full Time
Project Management Leadership Program (PMLP),Gevernova -,"Dubai, United Arab Emirates ",Full Time
Senior Product Designer,RemotePass -,"Dubai, United Arab Emirates ",Full Time
Senior Angular Software Engineer,Kalasko -,"Cairo, Egypt ",Full Time
Business Transformation Consultant,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time
Package Consultant: SAP FIN FI,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Head of Projects Management - Construction,CC Staffing International -,"Riyadh, Saudi Arabia ",Full Time
Senior Validation Engineer,Thales Group -,"Riyadh, Saudi Arabia ",Full Time
Master Data Management Manager,DHL -,"Riyadh, Saudi Arabia ",Full Time
Cloud Solution Architecture IC5,Microsoft -,"Riyadh, Saudi Arabia ",Full Time
Sr. Welding Engineer,NPCC -,"Dubai, United Arab Emirates ",Full Time
Sr. Methods Engineer,NPCC -,"Dubai, United Arab Emirates ",Full Time
Engineer (Process Safety),NPCC -,"Dubai, United Arab Emirates ",Full Time
Senior Data Engineer - ETL and IoT Integration Specialist,Confidential -,"6th of October, Giza, Egypt ",Full Time
Unity Developer,Bright Vision   -,"Giza, Giza, Egypt ",Full Time
Oracle E-Business Suite (EBS) Developer,Confidential -,"Cairo, Egypt ",Full Time
Oracle E-Business Suite (EBS) Database Administrator,Confidential -,"Cairo, Egypt ",Full Time
Sales Account Manager,Eworks -,"Giza, Egypt ",Full Time
Oracle E-Business Suite (EBS) Functional Consultant (Finance and Supply Chain),Confidential -,"Cairo, Egypt ",Full Time
Senior Software Design Engineer (Remote),"Mattermost, Inc -","Alexandria, Egypt ",Full Time
Front Desk Agent,Palma Bay Rotana -,"Cairo, Egypt ",Full Time
Learning & Development Officer,Centro Olaya -,"Riyadh, Saudi Arabia ",Full Time
Administration Specialist,Gama Construction -,"Cairo, Egypt ",Full Time
Project Admin,Giza Arabia -,"Riyadh, Saudi Arabia ",Full Time
Internal Audit and Financial Reporting Team Lead,Mozn -,"Riyadh, Saudi Arabia ",Full Time
Senior Data Engineer,Mozn -,"Riyadh, Saudi Arabia ",Full Time
Senior Project Manager – Low Current,CC Staffing International -,"Riyadh, Saudi Arabia ",Full Time
Application Developer .Net,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Package Consultant SAP HANA FIN FI,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Full Stack PHP Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Program Execution Planner,General Motors -,"Cairo, Egypt ",Full Time
Testing & Commissioning Engineer (Electrical Engineer),RAWAJ -,"Cairo, Egypt ",Full Time
Project manager,Hitachi -,"Cairo, Egypt ",Full Time
End User Account Manager/ PS,Hewlett Packard Inc -,"Riyadh, Saudi Arabia ",Full Time
Project Manager (Go-To-Market),Dubizzle -,"Cairo, Egypt ",Full Time
Scrum Master,"HealthPlan Services, Inc. -","Doha, Qatar ",Full Time
Windows Administrator,Emaratech -,"Dubai, United Arab Emirates ",Full Time
Project Manager - Fit-Out Luxury Industry,BD SELECT -,"Dubai, United Arab Emirates ",Full Time
Quality Engineer,WorleyParsons -,"Khobar, Saudi Arabia ",Full Time
Sr. Civil Engineer (Wet Utilities & Irrigation),Dar Al Riyadh Consultants -,"Riyadh, Saudi Arabia ",Full Time
IT Development & Delivery Manager,Pepsi -,"Cairo, Egypt ",Full Time
Administration Specialist,Gama Construction -,"Cairo, Egypt ",Full Time
Key Accounts Assistant Analyst - Cafes & Restaurants,Pepsi -,"Cairo, Egypt ",Full Time
Talent Strategy Consulting Intern,Mercer -,"Riyadh, Saudi Arabia ",Full Time
IT Asset Management Officer,Commercial International Group -,"Cairo, Egypt ",Full Time
Tech Lead (Solution Architect and Documentation Specialist),Brixio -,"Dubai, United Arab Emirates ",Full Time
Sales Administrator,Mega Build Up Computers -,"Agouza, Giza, Egypt ",Full Time
Board Specialist,NEOM -,"Riyadh, Saudi Arabia ",Full Time
Process/Specialty Engineer I,Fluor Corporation -,"Riyadh, Saudi Arabia ",Full Time
Small Projects Lead - Egypt,"Jones Lang LaSalle IP, Inc -","Cairo, Egypt ",Full Time
Senior Process/Specialty Engineer,Fluor Corporation -,"Riyadh, Saudi Arabia ",Full Time
DevOps Engineer,Adecco -,"Dubai, United Arab Emirates ",Full Time
"Sr. Technical Program Manager, MENA Payments",Payfort INT FZ LLC - G21 -,"Dubai, United Arab Emirates ",Full Time
"Program Manager (KSA nat), Key Initiatives",Afaq Q Tech General Trading - G11 -,"Riyadh, Saudi Arabia ",Full Time
Engineering Internship - Modernization Sales & Operations,TK Elevator -,"Dubai, United Arab Emirates ",Full Time
Tendering Senior Engineer,ElsewedyElectric -,"Cairo, Egypt ",Full Time
End User Account Manager/ PS,HP - United Arab Emirates -,"Riyadh, Saudi Arabia ",Full Time
Sr Systems Engineer - Network & Security,Manpower -,"Dubai, United Arab Emirates ",Full Time
Senior Java Developer,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Digital Technology Lifecyle Services Sales,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
HR Consultant,RAWAJ -,"Cairo, Egypt ",Full Time
Senior Software Design Engineer,"Mattermost, Inc -","Alexandria, Egypt ",Full Time
Field Service Rep. I - Drilling Fluids,"Halliburton Energy Services, Inc. -","Riyadh, Saudi Arabia ",Full Time
Senior Java Developer,Adecco -,"Dubai, United Arab Emirates ",Full Time
"Hardware Support Engineer ""Internship""",Global Brands -,"New Cairo, Cairo, Egypt ",Internship
PHP Laravel Developer,Orbit tech.  -,"Maadi, Cairo, Egypt ",Full Time
MICROSOFT DYNAMICS 365 CE SOLUTION ARCHITECT / TEAM LEAD,Duncan & Ross -,"Dubai, United Arab Emirates ",Full Time
Application/Sys Sales Eng I,"Honeywell International, Inc. -","Riyadh, Saudi Arabia ",Full Time
QA/QC Engineer (Saudi National),Jacobs Engineering Group Inc -,"Riyadh, Saudi Arabia ",Full Time
Project Manager - Buyer Furnished Equipment,flybeond.com -,"Dubai, United Arab Emirates ",Full Time
Sr. Product Designer,MaxAB -,"Cairo, Egypt ",Full Time
Senior Frontend Developer,Adecco -,"Dubai, United Arab Emirates ",Full Time
Senior Node JS Developer,ExaCall -,"Sheikh Zayed, Giza, Egypt ",Full Time
L3 Technical Support,CME -,"Cairo, Egypt ",Full Time
Mechanical Technician,AlRashed Group -,"Riyadh, Saudi Arabia ",Full Time
IT End User Support,Archirodon -,"Cairo, Egypt ",Full Time
Testing Engineer,The FutureList -,"Cairo, Egypt ",Full Time
Mechanical technician - WDEC Shuaibah,NOMAC -,"Riyadh, Saudi Arabia ",Full Time
Lead Engineer- Sitecore,Adecco -,"Dubai, United Arab Emirates ",Full Time
"Cloud solutions architect ""Azure expert""",Efada Technology -,"6th of October, Giza, Egypt ",Full Time
Senior Programmer,Al-Dawaa Medical Services Co. Ltd -,"Riyadh, Saudi Arabia ",Full Time
Electrical technician - WDEC Shuaibah,NOMAC -,"Riyadh, Saudi Arabia ",Full Time
System Administrator,Dough and More Food Industries -,"6th of October, Giza, Egypt ",Full Time
Corporate Sales Specialist,TA telecom -,"Maadi, Cairo, Egypt ",Full Time
Senior Mobile Developer,Expert Apps -,"Maadi, Cairo, Egypt ",Full Time
Data and Strategic Initiative Manager,NEOM -,"Riyadh, Saudi Arabia ",Full Time
Senior Contracts Administrator,Gama Construction -,"Cairo, Egypt ",Full Time
Cash Application Specialist: Dammam,"National Oilwell Varco, Inc. -","Riyadh, Saudi Arabia ",Full Time
Senior Backend Developer - PHP,Aqarmap.com -,"Nasr City, Cairo, Egypt ",Full Time
Senior IOS Developer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full Time
Senior Software Tester,Expert Apps -,"Maadi, Cairo, Egypt ",Full Time
Senior PHP Laravel Developer,MATN SOLUTIONS -,"Maadi, Cairo, Egypt ",Full Time
Senior Node.js Developer,MATN SOLUTIONS -,"Maadi, Cairo, Egypt ",Full Time
Sr. Performance Tester,Expert Apps -,"Maadi, Cairo, Egypt ",Full Time
Senior Automation Engineer,Measuresoft oil and gas Services    -,"New Cairo, Cairo, Egypt ",Full Time
Process Improvement Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Flutter Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt ",Internship
Senior Android Developer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full Time
Senior .NET Developer,Expert Apps -,"Maadi, Cairo, Egypt ",Full Time
Backend Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt ",Internship
Front End Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt ",Internship
Scrum Master,MATN SOLUTIONS -,"Maadi, Cairo, Egypt ",Full Time
RPA Business Analyst,Giza Systems -,"New Cairo, Cairo, Egypt ",Full Time
Senior Mobile Developer - React Native,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
Software Engineering Team Lead,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
UI/UX Graphic Designer,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
Product Owner,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
Junior Software Engineer - .NET,IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
Flutter mobile developer,Geek Labs -,"Maadi, Cairo, Egypt ",Full Time
Talent Acquisition Officer,Efada Technology -,"New Cairo, Cairo, Egypt ",Full Time
Lead Project Manager,Wipro -,"Riyadh, Saudi Arabia ",Full Time
Subsurface Team Lead,NES Fircroft -,"Cairo, Egypt ",Full Time
Engineering Manager,DAMAC Hills 2 Hotel -,"Dubai, United Arab Emirates ",Full Time
Senior Manager - Quality Assurance (Jeddah),"Vehicle Solutions, Accessories & Personalization -","Jeddah, Saudi Arabia ",Full Time
Auto RMG - REMOTE CONTROL OPERATOR,DP World -,"Dubai, United Arab Emirates ",Full Time
Database Administrator,ADCB Abu Dhabi Commercial Bank -,"Abu Dhabi, United Arab Emirates ",Full Time
Staff Software Engineer,Sumerge -,"Riyadh, Saudi Arabia ",Full Time
Senior Manager Project,Miral -,"Dubai, United Arab Emirates ",Full Time
Business Continuity Analyst,Splonline -,"Riyadh, Saudi Arabia ",Full Time
Application Support Engineer,SELECT -,"Nasr City, Cairo, Egypt ",Full Time
UX/UI Designer,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time
SAP MM consultant,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Data Analyst,Ali Bin Ali -,"Doha, Qatar ",Full Time
Senior Process Engineer,NES Fircroft -,"Riyadh, Saudi Arabia ",Full Time
Senior Design Manager - Infrastructure,Jacobs Engineering Group Inc -,"Riyadh, Saudi Arabia ",Full Time
Senior Power PI Developer,Technosignage -,"Heliopolis, Cairo, Egypt ",Part Time
MS Dynamics CRM Functional Consultant - Arabic Speaking,Avanade Inc. -,"Dubai, United Arab Emirates ",Full Time
Siebel Developer,Sscegypt -,"Cairo, Egypt ",Full Time
IT Developer,Cargoes -,"Suez, Egypt ",Full Time
Associate Product Manager,Sscegypt -,"Cairo, Egypt ",Full Time
Category Team Leader,Homzmart -,"Cairo, Egypt ",Full Time
IT Front End Support Lead,DHL -,"Dubai, United Arab Emirates ",Full Time
VP Sales (Advanced Technology Solutions),Black & Grey HR -,"Dubai, United Arab Emirates ",Full Time
Software Development Director,Confidential -,"Cairo, Egypt ",Full Time
IT Engineer - Microsoft 365 and cloud specialist,B-Link Technologies -,"Basrah, Iraq ",Full Time
Risk Manager,Tabby  -,"Riyadh, Saudi Arabia ",Full Time
Front-end developer (Vue.js),Gulf Terminal -,"Mansoura, Dakahlia, Egypt ",Full Time
Full Stack Developer (.Net & Angular),GoodsMart -,"Zamalek, Cairo, Egypt ",Full Time
Senior Flutter Developer,GuruHub -,"Nablus, Palestine ",Freelance / Project
Senior Manager - Quality Assurance (Jeddah),Abdul Latif Jameel Enterprises -,"Jeddah, Saudi Arabia ",Full Time
"Associate Vendor Manager, RVR",Amazon MENA -,"Riyadh, Saudi Arabia ",Full Time
Senior Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Full Time
IT Project Manager,Fawry Microfinance  -,"Maadi, Cairo, Egypt ",Full Time
Applications Support Specialist (365 dynamic finance and operation ),Confidential -,"Obour City, Cairo, Egypt ",Full Time
Software Engineer,Rabbit Mart -,"Maadi, Cairo, Egypt ",Full Time
ICT Teacher,International Modern School -,"Shorouk City, Cairo, Egypt ",Full Time
Technical Lead-IT,Block Gemini -,"Cairo, Egypt ",Full Time
Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Full Time
Engineering Manager,Amwaj Rotana - Jumeirah Beach Residence -,"Dubai, United Arab Emirates ",Full Time
Front Desk Agent,Arjaan by Rotana Dubai Media City -,"Dubai, United Arab Emirates ",Full Time
Information Technology Officer,Rosh Rayhaan by Rotana -,"Riyadh, Saudi Arabia ",Full Time
Information Security Senior Specialist,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time
IT Specialist,Arma Non Food -,"Talkha, Dakahlia, Egypt ",Full Time
Software Quality Assurance Engineer,ATW Ltd. -,"Dokki, Giza, Egypt ",Full Time
Cloud Engineer,Link Datacenter -,"Maadi, Cairo, Egypt ",Full Time
Business Analyst,BTC-Egypt Gold -,"Heliopolis, Cairo, Egypt ",Full Time
Technical Support,BTC-Egypt Gold -,"Heliopolis, Cairo, Egypt ",Full Time
Web Developer,BTC-Egypt Gold -,"Heliopolis, Cairo, Egypt ",Full Time
Quality Assurance Engineer,Boutiqaat -,"Heliopolis, Cairo, Egypt ",Full Time
Odoo Developer,Vettib -,"Nasr City, Cairo, Egypt ",Freelance / Project
Devops Engineer,"Telecom Systems Provider, LLC -","Maadi, Cairo, Egypt ",Full Time
Senior Odoo Implementer,Vettib -,"Nasr City, Cairo, Egypt ",Freelance / Project
Manager Quality Assurance,Mindfield Resources -,"Dubai, United Arab Emirates ",Full Time
Senior .Net Developer,TAB ERP Solutions -,"Nasr City, Cairo, Egypt ",Full Time
Project Manager,ManpowerGroup Middle East -,"Dubai, United Arab Emirates ",Full Time
Backup Administrator - (Proficiency in French Language is required),DeepSource -,"Cairo, Egypt ",Full Time
Part-time IT or Business Trainers (Remote/On-site),FrancoPinto -,"Dubai, United Arab Emirates ",Full Time
Frontline Officer - Wealth and Personal Banking,HSBC -,"Cairo, Egypt ",Full Time
Senior Accounting Manager,Foreground Consultancy -,"Riyadh, Saudi Arabia ",Full Time
Technical Support Engineer (Saudi Residents Only),TIS -,"Riyadh, Saudi Arabia ",Full Time
Validation Engineer,General Motors -,"Cairo, Egypt ",Full Time
Associate Product Manager,SSC -,"Cairo, Egypt ",Full Time
Siebel Developer,SSC -,"Cairo, Egypt ",Full Time
Business Analyst -(FenX Configurator).,Atribs Metscon -,"Dubai, United Arab Emirates ",Full Time
RFQ - HSE Safety Engineer,Atribs Metscon -,"Dubai, United Arab Emirates ",Full Time
Project Manager,Atribs Metscon -,"Dubai, United Arab Emirates ",Full Time
Project Administration Coordinator,dmg events -,"Dubai, United Arab Emirates ",Full Time
Senior Front End Developer,kafiil -,"Maadi, Cairo, Egypt ",Full Time
Senior Web Developer,Aidaree -,"Cairo, Egypt ",Part Time
business central application admin,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
retail pro application administrator,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Network Administrator,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Senior .Net Developer,Sarmady -,"Mohandessin, Giza, Egypt ",Full Time
IT Specialist,COLAS RAIL Egypt -,"Downtown, Cairo, Egypt ",Full Time
Software Quality Control Engineer,BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time
Software Technical Lead,International Advanced  -,"Nasr City, Cairo, Egypt ",Full Time
IT Specialist,Tasaheel Finance  -,"Giza, Giza, Egypt ",Full Time
Senior Android Developer,NEXT-Munich GmbH -,"Downtown, Cairo, Egypt ",Full Time
Utilities Operations Engineering Superintendent,Yanbu Aramco Sinopec Refining Company (YASREF) -,"Yanbu, Saudi Arabia ",Full Time
System Administrator Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full Time
Senior Business Solutions Specialist,Kandil Industries -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Junior Project Manager for eCommerce projects - Alexandria,scandiweb -,"Alexandria, Egypt ",Full Time
Junior Project Manager for eCommerce projects,scandiweb -,"Cairo, Egypt ",Full Time
Senior Manual Tester,kafiil -,"Cairo, Egypt ",Full Time
Project Manager,Giza Arabia -,"Riyadh, Saudi Arabia ",Full Time
Senior Contracts Administrator,Gama Construction -,"Cairo, Egypt ",Full Time
System Administrator,Al Rabat -,"New Cairo, Cairo, Egypt ",Full Time
Cyber Security Specialist,Youxel -,"Maadi, Cairo, Egypt ",Full Time
Technical Product Manager (Travel Industry),Bevatel -,"Dokki, Giza, Egypt ",Full Time
Nest.Js Backend Developer,Confidential -,"Cairo, Egypt ",Full Time
DevOps Engineer,Bexel -,"Nasr City, Cairo, Egypt ",Full Time
.Net Web Developer -,CompactSoft International  -,"Nasr City, Cairo, Egypt ",Full Time
Dynamics 365 developer,CompactSoft International  -,"New Cairo, Cairo, Egypt ",Full Time
Lead Project Controls Engineer,NES Fircroft -,"Dubai, United Arab Emirates ",Full Time
Senior Data Analyst,Dubizzle -,"Cairo, Egypt ",Full Time
Customer service Russian speaking,BD SELECT -,"Dubai, United Arab Emirates ",Full Time
Senior credit controller,BD SELECT -,"Dubai, United Arab Emirates ",Full Time
Systems Engineer - Linux/OpenShift/VMware/L2 Networking,DeepSource -,"Cairo, Egypt ",Full Time
Systems Administrator - Dell PowerEdge Servers and Networking,DeepSource -,"Cairo, Egypt ",Full Time
Backup and Recovery Specialist - (Proficiency in French Language is required),DeepSource -,"Cairo, Egypt ",Full Time
Solution Architect - Azure Hub Specialist,DeepSource -,"Cairo, Egypt ",Full Time
Senior Product Manager - Payments,MoneyFellows -,"Cairo, Egypt ",Full Time
Project Manager - IT Infrastructure,DeepSource -,"Cairo, Egypt ",Full Time
"Systems Administrator- Dell PowerStore, PowerScale, (Italian Language required)",DeepSource -,"Cairo, Egypt ",Full Time
Senior Solution Architect - PowerScale Specialist,DeepSource -,"Cairo, Egypt ",Full Time
Sr. Operation Engineer,NPCC -,"Dubai, United Arab Emirates ",Full Time
Lead Operation Engineer,NPCC -,"Dubai, United Arab Emirates ",Full Time
IT Helpdesk and Endpoint Technician,VAM Systems -,"Doha, Qatar ",Full Time
UK Contact Center Agent GSC''s,HSBC -,"Cairo, Egypt ",Full Time
Senior Network Security Engineer (Saudi Residents Only),TIS -,"Riyadh, Saudi Arabia ",Full Time
Chief Information Officer,EELU -,"Dokki, Giza, Egypt ",Full Time
Senior Front End Engineer,DX -,"New Cairo, Cairo, Egypt ",Full Time
Senior DevSecOps Engineer,ZINAD IT -,"6th of October, Giza, Egypt ",Full Time
Senior Software Developer - Front-End,Confidential -,"Heliopolis, Cairo, Egypt ",Part Time
Senior Quality Control Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Full Time
Full Stack Developer (.NET core & Angular),Takamol For Information Technology -,"Alexandria, Egypt ",Full Time
ERP System Senior Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time
Senior Angular Front-end developer,Edentech -,"Heliopolis, Cairo, Egypt ",Full Time
UI UX Web Developer,GS - GEO Solutions  -,"New Cairo, Cairo, Egypt ",Full Time
Senior Full Stack developer (.Net & Angular),GS - GEO Solutions  -,"New Cairo, Cairo, Egypt ",Full Time
Python Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt ",Part Time
Android Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt ",Full Time
Wordpress Developer,Adam Store -,"Alexandria, Egypt ",Full Time
"Front End Developer (React , Nextjs 14)",Confidential -,"Ain Shams, Cairo, Egypt ",Freelance / Project
Software Technical lead,Confidential -,"Haram, Giza, Egypt ",Full Time
Senior Java Developer,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time
Teamleader full stack,SATA Group -,"Nasr City, Cairo, Egypt ",Full Time
English Back Office Agents (U Tech......))..........),Majorel Egypt -,"Katameya, Cairo, Egypt ",Full Time
Senior Information Security Analyst,Basata -,"Mokattam, Cairo, Egypt ",Full Time
Senior Linux Engineer,Basata -,"Mokattam, Cairo, Egypt ",Full Time
Senior Oracle Developer,Allianz -,"New Cairo, Cairo, Egypt ",Full Time
Senior SOC Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Full Time
Software Tester,Dafa -,"Haram, Giza, Egypt ",Full Time
Mobile Technical Support Specialist (Qena),realme -,"Qena, Qena, Egypt ",Full Time
Instructional Designing Lead,Confidential -,"Mohandessin, Giza, Egypt ",Full Time
"Senior Manager - Business Development Dubai, United Arab Emirates Posted on 01/19/2024 Trending","WESCO International, Inc. -","Dubai, United Arab Emirates ",Full Time
iOS Developer,Sscegypt -,"Cairo, Egypt ",Full Time
Android Developer,Sscegypt -,"Cairo, Egypt ",Full Time
"Data & Analytics Manager Dubai, United Arab Emirates",GroupM -,"Dubai, United Arab Emirates ",Full Time
Senior Scaffolding Engineer (Design),Gama Construction -,"Cairo, Egypt ",Full Time
Senior Planning Engineer,Gama Construction -,"Cairo, Egypt ",Full Time
"General Manager, Middle East",lime -,"Dubai, United Arab Emirates ",Full Time
Senior Consultant for Risk and Compliance (Arabic Speaking),Corporate General Solutions (Pvt.) Ltd -,"Riyadh, Saudi Arabia ",Full Time
Software Developer,Confidential -,"Cairo, Egypt ",Freelance / Project
Full Stack Developer (PHP/Laravel+ JavaScript),jmskef -,"Banha, Qalubia, Egypt ",Full Time
SOC Analyst Level 2,IT Security C&T -,"Riyadh, Saudi Arabia ",Full Time
iOS Developer,SSC -,"Cairo, Egypt ",Full Time
App/ Software / Solution Architect,SSC -,"Cairo, Egypt ",Full Time
Android Developer,SSC -,"Cairo, Egypt ",Full Time
Talent Care Advisor with French and Arabic,IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Quality Manager,Antal International -,"Dubai, United Arab Emirates ",Full Time
AML/CTF Executive,BitOasis -,"Dubai, United Arab Emirates ",Full Time
Senior Liferay Developer,Sscegypt -,"Dubai, United Arab Emirates ",Full Time
"Client Advisor - David Clulow, Luxottica (Yas M... RETAIL & DISTRIBUTION · Dubai",Chalhoub Group -,"Dubai, United Arab Emirates ",Full Time
EXECUTIVE– BUSINESS PROCESS IMPROVEMENT,Cargoes -,"Dubai, United Arab Emirates ",Full Time
.NET FULL STACK DEVELOPER - REMOTE,Duncan & Ross -,"Riyadh, Saudi Arabia ",Full Time
SERVICENOW SOLUTION ARCHITECT,Duncan & Ross -,"Riyadh, Saudi Arabia ",Full Time
Senior Frontend Developer,Sscegypt -,"Cairo, Egypt ",Full Time
Network Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
Backend developer (Java),Sscegypt -,"Cairo, Egypt ",Full Time
Senior DevOps Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
App/ Software / Solution Architect,Sscegypt -,"Cairo, Egypt ",Full Time
Lead Network Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
Activities Assistant,Monarchcommunities -,"Cairo, Egypt ",Full Time
"* Finance Associate External Post level G6 Apply by Jan-29-24 Agency UNDP Cairo, Egypt",undp.org -,"Cairo, Egypt ",Full Time
Lead DevOps Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
Senior Network Engineer,"Integrant, Inc. -","Cairo, Egypt ",Full Time
Senior Data Scientist II,Alphapartners -,"Dubai, United Arab Emirates ",Full Time
Senior Finance Manager,Rashideen Egypt for Trade Company -,"Cairo, Egypt ",Full Time
Project Manager,Manpower -,"Dubai, United Arab Emirates ",Full Time
Customer Success Account Mgmt,Microsoft -,"Dubai, United Arab Emirates ",Full Time
Administration Specialist – Attorney Support,Latham & Watkins -,"Riyadh, Saudi Arabia ",Full Time
Flutter Developer,jmskef -,"Banha, Qalubia, Egypt ",Full Time
WordPress Developer,IDEANEST -,"Cairo, Egypt ",Part Time
RPA Developer/Analyst - 1-3 years,AutoMind Consulting Services -,"Cairo, Egypt ",Full Time
Senior Software Tester,Dsquares -,"Cairo, Egypt ",Full Time
